,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,12.903326646158257
1,2.9175,2.5,0.25,57.27434205408852
2,2.9175,2.5,0.75,484.4734538248635
3,4.0845,3.5,0.25,82.79898949595051
4,4.0845,3.5,0.75,707.6650152038068
5,4.0845,3.5,1.25,1882.5661800119433
6,5.2515,4.5,0.25,90.0946732239493
7,5.2515,4.5,0.75,765.7881383888644
8,5.2515,4.5,1.25,2039.7165798939984
9,5.2515,4.5,1.75,3894.9491401500877
10,6.4185,5.5,0.25,85.42670254208528
11,6.4185,5.5,0.75,735.6264676690931
12,6.4185,5.5,1.25,1975.5242728050393
13,6.4185,5.5,1.75,3787.1188793317333
14,6.4185,5.5,2.25,6141.723887459385
15,7.585500000000001,6.5,0.25,78.08498033550488
16,7.585500000000001,6.5,0.75,679.6311102752384
17,7.585500000000001,6.5,1.25,1822.5173024107578
18,7.585500000000001,6.5,1.75,3515.5380416066173
19,7.585500000000001,6.5,2.25,5688.643151324738
20,7.585500000000001,6.5,2.75,8320.602729983917
21,7.585500000000001,6.5,3.25,11589.73000103722
22,7.585500000000001,6.5,3.75,15526.321848141302
23,8.7525,7.5,0.25,70.49665077446578
24,8.7525,7.5,0.75,614.7826973120519
25,8.7525,7.5,1.25,1654.3872115268225
26,8.7525,7.5,1.75,3191.2003631367365
27,8.7525,7.5,2.25,5345.564545684487
28,8.7525,7.5,2.75,7873.314314762962
29,8.7525,7.5,3.25,10936.219417287539
30,8.7525,7.5,3.75,14377.857778159854
31,8.7525,7.5,4.25,17683.8602091946
32,9.919500000000001,8.5,0.25,64.17970259432609
33,9.919500000000001,8.5,0.75,548.8436385277374
34,9.919500000000001,8.5,1.25,1559.163773968013
35,9.919500000000001,8.5,1.75,2965.049597904563
36,9.919500000000001,8.5,2.25,4734.268241624679
37,9.919500000000001,8.5,2.75,7166.2519188181095
38,9.919500000000001,8.5,3.25,9713.484452340494
39,9.919500000000001,8.5,3.75,12568.32943670232
40,9.919500000000001,8.5,4.25,16233.07910083083
41,9.919500000000001,8.5,4.75,20749.439997585225
42,9.919500000000001,8.5,5.25,24745.77860756699
43,11.086500000000001,9.5,0.25,61.590833221925735
44,11.086500000000001,9.5,0.75,508.55524547761877
45,11.086500000000001,9.5,1.25,1352.7820760150585
46,11.086500000000001,9.5,1.75,2757.7497067240106
47,11.086500000000001,9.5,2.25,4314.615934782541
48,11.086500000000001,9.5,2.75,6744.391570306164
49,11.086500000000001,9.5,3.25,8556.839661943099
50,11.086500000000001,9.5,3.75,11444.733693976463
51,11.086500000000001,9.5,4.25,15464.96816869636
52,11.086500000000001,9.5,4.75,18413.460840332325
53,11.086500000000001,9.5,5.25,22240.74668860843
54,11.086500000000001,9.5,5.75,27324.70154654128
55,11.086500000000001,9.5,6.25,31454.640014670542
56,12.2535,10.5,0.25,52.40374143783868
57,12.2535,10.5,0.75,452.107225131511
58,12.2535,10.5,1.25,1220.379628400501
59,12.2535,10.5,1.75,2428.6759889570667
60,12.2535,10.5,2.25,4183.075773792704
61,12.2535,10.5,2.75,5752.760388661975
62,12.2535,10.5,3.25,7823.131248683994
63,12.2535,10.5,3.75,11095.447175003768
64,12.2535,10.5,4.25,13846.471409116408
65,12.2535,10.5,4.75,16061.598434654965
66,12.2535,10.5,5.25,20175.83012776381
67,12.2535,10.5,5.75,25800.689939647487
68,12.2535,10.5,6.25,27778.39817954718
69,12.2535,10.5,6.75,31608.560245568595
70,12.2535,10.5,7.25,36838.76554017883
71,12.2535,10.5,7.75,41182.55869235499
72,12.2535,10.5,8.25,51040.74012413363
73,13.4205,11.5,0.25,46.13785994412733
74,13.4205,11.5,0.75,407.8203190609322
75,13.4205,11.5,1.25,1126.102439623164
76,13.4205,11.5,1.75,2205.8853442907275
77,13.4205,11.5,2.25,3692.0195748685496
78,13.4205,11.5,2.75,5389.150813283139
79,13.4205,11.5,3.25,7154.5432666075285
80,13.4205,11.5,3.75,9778.73845923643
81,13.4205,11.5,4.25,12121.037037493967
