,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,154.7763430142996
1,2.9175,2.5,0.25,582.665518344226
2,2.9175,2.5,0.75,5202.1081955054315
3,4.0845,3.5,0.25,1113.5518914973563
4,4.0845,3.5,0.75,9932.950321655282
5,4.0845,3.5,1.25,27784.012639226366
6,5.2515,4.5,0.25,1715.3858484927605
7,5.2515,4.5,0.75,15247.027922592828
8,5.2515,4.5,1.25,42672.32487851396
9,5.2515,4.5,1.75,83351.09152291782
10,6.4185,5.5,0.25,2179.295091731405
11,6.4185,5.5,0.75,19155.113085017223
12,6.4185,5.5,1.25,52714.83303038455
13,6.4185,5.5,1.75,102959.8385827763
14,6.4185,5.5,2.25,173663.15671642465
15,7.585500000000001,6.5,0.25,2346.591465831078
16,7.585500000000001,6.5,0.75,21596.51021840727
17,7.585500000000001,6.5,1.25,59206.31069641413
18,7.585500000000001,6.5,1.75,117177.98517328432
19,7.585500000000001,6.5,2.25,190707.8332345592
20,7.585500000000001,6.5,2.75,280370.2038740614
21,7.585500000000001,6.5,3.25,392009.28695238347
22,7.585500000000001,6.5,3.75,523201.34308199503
23,8.7525,7.5,0.25,2451.4401463239997
24,8.7525,7.5,0.75,22631.37178005947
25,8.7525,7.5,1.25,61022.569541958685
26,8.7525,7.5,1.75,120074.65007108776
27,8.7525,7.5,2.25,198746.24872563957
28,8.7525,7.5,2.75,304619.12998714374
29,8.7525,7.5,3.25,415324.8752037152
30,8.7525,7.5,3.75,561806.6055534962
31,8.7525,7.5,4.25,678991.8443167701
32,9.919500000000001,8.5,0.25,2539.1198253595708
33,9.919500000000001,8.5,0.75,22368.630724440478
34,9.919500000000001,8.5,1.25,65504.527701332096
35,9.919500000000001,8.5,1.75,124183.48005116452
36,9.919500000000001,8.5,2.25,200389.62217567334
37,9.919500000000001,8.5,2.75,312558.5705308723
38,9.919500000000001,8.5,3.25,408564.2685665263
39,9.919500000000001,8.5,3.75,521540.6886847412
40,9.919500000000001,8.5,4.25,682479.258966297
41,9.919500000000001,8.5,4.75,879560.7542977575
42,9.919500000000001,8.5,5.25,1053605.4901829592
43,11.086500000000001,9.5,0.25,2856.142735083237
44,11.086500000000001,9.5,0.75,23673.672975553163
45,11.086500000000001,9.5,1.25,63156.18982222305
46,11.086500000000001,9.5,1.75,131449.173909545
47,11.086500000000001,9.5,2.25,204645.64817204047
48,11.086500000000001,9.5,2.75,318885.6471131186
49,11.086500000000001,9.5,3.25,400758.0409766624
50,11.086500000000001,9.5,3.75,541628.6714835849
51,11.086500000000001,9.5,4.25,720270.4005655365
52,11.086500000000001,9.5,4.75,863590.5474235426
53,11.086500000000001,9.5,5.25,1035765.2185277285
54,11.086500000000001,9.5,5.75,1290054.381832292
55,11.086500000000001,9.5,6.25,1416408.5328016342
56,12.2535,10.5,0.25,2634.0411319920076
57,12.2535,10.5,0.75,23376.30381650516
58,12.2535,10.5,1.25,61827.570534791834
59,12.2535,10.5,1.75,130345.8217672621
60,12.2535,10.5,2.25,226078.07810628298
61,12.2535,10.5,2.75,294837.1534552347
62,12.2535,10.5,3.25,424230.93524404964
63,12.2535,10.5,3.75,586291.8062568124
64,12.2535,10.5,4.25,695523.2030837653
65,12.2535,10.5,4.75,818073.4467948516
66,12.2535,10.5,5.25,955871.2511942828
67,12.2535,10.5,5.75,1204975.1196584534
68,12.2535,10.5,6.25,1319163.1947526068
69,12.2535,10.5,6.75,1393190.2665450203
70,12.2535,10.5,7.25,1570076.9634324717
71,12.2535,10.5,7.75,1712922.0920670996
72,12.2535,10.5,8.25,1914206.0708970292
73,13.4205,11.5,0.25,2684.5711276317816
74,13.4205,11.5,0.75,24282.208207710013
75,13.4205,11.5,1.25,66168.31372200506
76,13.4205,11.5,1.75,133595.9157623203
77,13.4205,11.5,2.25,216356.36873990725
78,13.4205,11.5,2.75,328127.14906807
79,13.4205,11.5,3.25,400955.81479050487
80,13.4205,11.5,3.75,530454.566183158
81,13.4205,11.5,4.25,615383.6914426191
82,13.4205,11.5,4.75,703295.5649727309
83,13.4205,11.5,5.25,820996.8019384509
84,13.4205,11.5,5.75,949012.4312515147
85,13.4205,11.5,6.25,1057781.5800499907
86,13.4205,11.5,6.75,1122866.0917534512
87,13.4205,11.5,7.25,1275148.1267748678
88,13.4205,11.5,7.75,1329520.3987158325
89,13.4205,11.5,8.25,1450916.208142524
90,13.4205,11.5,8.75,1554510.2332172806
91,14.5875,12.5,0.25,2660.834468545115
92,14.5875,12.5,0.75,26730.54165322951
93,14.5875,12.5,1.25,71967.9350879369
94,14.5875,12.5,1.75,121498.1919600618
95,14.5875,12.5,2.25,206291.60411589313
96,14.5875,12.5,2.75,268504.9606976839
97,14.5875,12.5,3.25,366951.7479780844
98,14.5875,12.5,3.75,440510.72791973513
99,14.5875,12.5,4.25,534847.9404743573
100,14.5875,12.5,4.75,654902.4966231359
101,14.5875,12.5,5.25,709934.1655436192
102,14.5875,12.5,5.75,779668.3417185957
103,14.5875,12.5,6.25,846295.1132815127
104,14.5875,12.5,6.75,917491.1448400246
105,14.5875,12.5,7.25,975032.7583609787
106,14.5875,12.5,7.75,1090124.0099010586
107,14.5875,12.5,8.25,1143645.9335262345
108,14.5875,12.5,8.75,1217625.8807179425
109,15.7545,13.5,0.25,3024.5106012912825
110,15.7545,13.5,0.75,26453.3941327846
111,15.7545,13.5,1.25,73362.70233422227
112,15.7545,13.5,1.75,126239.80359703758
113,15.7545,13.5,2.25,176104.05463913124
114,15.7545,13.5,2.75,263338.83067399426
115,15.7545,13.5,3.25,325259.1319922639
116,15.7545,13.5,3.75,396870.47179850534
117,15.7545,13.5,4.25,482973.49513430014
118,15.7545,13.5,4.75,518529.41281856847
119,15.7545,13.5,5.25,573181.2535278343
120,15.7545,13.5,5.75,670336.2427477845
121,15.7545,13.5,6.25,706053.1655281073
122,15.7545,13.5,6.75,788745.0730722538
123,15.7545,13.5,7.25,855885.5122333491
124,15.7545,13.5,7.75,919176.0925605617
125,15.7545,13.5,8.25,949896.3049869703
126,15.7545,13.5,8.75,1001982.964325023
127,16.9215,14.5,0.25,2899.2789713019474
128,16.9215,14.5,0.75,25986.79891457896
