,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,22.097390295748422
1,2.9175,2.5,0.25,89.5686113955805
2,2.9175,2.5,0.75,763.7122999515312
3,4.0845,3.5,0.25,125.93748140793208
4,4.0845,3.5,0.75,1079.6161550415661
5,4.0845,3.5,1.25,2892.2965882727062
6,5.2515,4.5,0.25,134.55502520742496
7,5.2515,4.5,0.75,1103.7494403392423
8,5.2515,4.5,1.25,2911.023011939805
9,5.2515,4.5,1.75,5426.319262618173
10,6.4185,5.5,0.25,116.03615681642485
11,6.4185,5.5,0.75,913.3282696935782
12,6.4185,5.5,1.25,2345.426380100765
13,6.4185,5.5,1.75,4431.803331219859
14,6.4185,5.5,2.25,7088.242277147197
15,7.585500000000001,6.5,0.25,84.73451006762649
16,7.585500000000001,6.5,0.75,659.5270519973684
17,7.585500000000001,6.5,1.25,1750.7614663266336
18,7.585500000000001,6.5,1.75,3237.0540904141258
19,7.585500000000001,6.5,2.25,5246.168594910541
20,7.585500000000001,6.5,2.75,7739.435006546029
21,7.585500000000001,6.5,3.25,10739.507530095178
22,7.585500000000001,6.5,3.75,14141.049591307756
23,8.7525,7.5,0.25,59.72803685111089
24,8.7525,7.5,0.75,462.12405540434736
25,8.7525,7.5,1.25,1228.9005105176293
26,8.7525,7.5,1.75,2283.361836726731
27,8.7525,7.5,2.25,3837.070542778878
28,8.7525,7.5,2.75,5712.009064209589
29,8.7525,7.5,3.25,8167.1048189268
30,8.7525,7.5,3.75,10679.37228565717
31,8.7525,7.5,4.25,13949.474792370445
32,9.919500000000001,8.5,0.25,40.31563933189129
33,9.919500000000001,8.5,0.75,329.27996792512204
34,9.919500000000001,8.5,1.25,862.0744477201729
35,9.919500000000001,8.5,1.75,1682.241389492485
36,9.919500000000001,8.5,2.25,2752.354672681669
37,9.919500000000001,8.5,2.75,4275.019247599813
38,9.919500000000001,8.5,3.25,6015.952293988634
39,9.919500000000001,8.5,3.75,8046.330962198799
40,9.919500000000001,8.5,4.25,10504.133887077449
41,9.919500000000001,8.5,4.75,13427.839663062408
42,9.919500000000001,8.5,5.25,16383.016343996065
43,11.086500000000001,9.5,0.25,28.183672244960725
44,11.086500000000001,9.5,0.75,225.77193740592483
45,11.086500000000001,9.5,1.25,618.4917457946383
46,11.086500000000001,9.5,1.75,1261.5832038438775
47,11.086500000000001,9.5,2.25,2084.092791026818
48,11.086500000000001,9.5,2.75,3295.6885713007628
49,11.086500000000001,9.5,3.25,4469.203946921037
50,11.086500000000001,9.5,3.75,5865.194690911492
51,11.086500000000001,9.5,4.25,8377.507604280028
52,11.086500000000001,9.5,4.75,10061.922563554625
53,11.086500000000001,9.5,5.25,12784.21287234709
54,11.086500000000001,9.5,5.75,15505.867011816808
55,11.086500000000001,9.5,6.25,18596.322148357936
56,12.2535,10.5,0.25,19.721298816835702
57,12.2535,10.5,0.75,164.96033012501888
58,12.2535,10.5,1.25,446.888198829603
59,12.2535,10.5,1.75,906.5119886155638
60,12.2535,10.5,2.25,1606.2585331713346
61,12.2535,10.5,2.75,2324.7170312046014
62,12.2535,10.5,3.25,3389.723379254054
63,12.2535,10.5,3.75,4812.7269676636515
64,12.2535,10.5,4.25,6097.390255308576
65,12.2535,10.5,4.75,7591.101961739776
66,12.2535,10.5,5.25,10267.311073824763
67,12.2535,10.5,5.75,12889.237861934971
68,12.2535,10.5,6.25,14257.57250723479
69,12.2535,10.5,6.75,17252.10094155883
70,12.2535,10.5,7.25,20399.132024488525
71,12.2535,10.5,7.75,23319.512809095846
72,12.2535,10.5,8.25,28011.144517596058
73,13.4205,11.5,0.25,13.70228852648777
74,13.4205,11.5,0.75,116.87969392635024
75,13.4205,11.5,1.25,324.81093462714847
76,13.4205,11.5,1.75,658.4850685123217
77,13.4205,11.5,2.25,1163.599528848517
78,13.4205,11.5,2.75,1806.3192294793623
79,13.4205,11.5,3.25,2581.5523308502025
80,13.4205,11.5,3.75,3754.743340111104
81,13.4205,11.5,4.25,4950.948908859926
82,13.4205,11.5,4.75,6289.370451852385
83,13.4205,11.5,5.25,8063.993828992365
