,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,24.157938516504384
1,2.9175,2.5,0.25,71.02999118639761
2,2.9175,2.5,0.75,601.9665061416262
3,4.0845,3.5,0.25,84.59271788440593
4,4.0845,3.5,0.75,707.031687108365
5,4.0845,3.5,1.25,1852.1073722824851
6,5.2515,4.5,0.25,74.20236009365925
7,5.2515,4.5,0.75,588.8184804624829
8,5.2515,4.5,1.25,1537.9111886821524
9,5.2515,4.5,1.75,2869.714437725049
10,6.4185,5.5,0.25,54.2888392494658
11,6.4185,5.5,0.75,422.68379970437513
12,6.4185,5.5,1.25,1099.3418952885027
13,6.4185,5.5,1.75,2114.422994240305
14,6.4185,5.5,2.25,3450.042957541299
15,7.585500000000001,6.5,0.25,35.23382979664267
16,7.585500000000001,6.5,0.75,281.36782160088524
17,7.585500000000001,6.5,1.25,768.0753544366969
18,7.585500000000001,6.5,1.75,1466.5875116512398
19,7.585500000000001,6.5,2.25,2431.8232183674413
20,7.585500000000001,6.5,2.75,3665.480716105235
21,7.585500000000001,6.5,3.25,5160.199726660012
22,7.585500000000001,6.5,3.75,6901.959545152624
23,8.7525,7.5,0.25,23.110224298597426
24,8.7525,7.5,0.75,187.14590807058676
25,8.7525,7.5,1.25,525.0154156554256
26,8.7525,7.5,1.75,1014.2095022056883
27,8.7525,7.5,2.25,1753.2812213668587
28,8.7525,7.5,2.75,2677.571290456183
29,8.7525,7.5,3.25,3887.741920462267
30,8.7525,7.5,3.75,5153.849794469055
31,8.7525,7.5,4.25,6794.635515034701
32,9.919500000000001,8.5,0.25,15.135503908593643
33,9.919500000000001,8.5,0.75,128.68954440817208
34,9.919500000000001,8.5,1.25,357.6017690734546
35,9.919500000000001,8.5,1.75,735.1887679844548
36,9.919500000000001,8.5,2.25,1242.7404282044386
37,9.919500000000001,8.5,2.75,1981.7288502366332
38,9.919500000000001,8.5,3.25,2850.5383465085893
39,9.919500000000001,8.5,3.75,3865.7194949229633
40,9.919500000000001,8.5,4.25,5139.634295971266
41,9.919500000000001,8.5,4.75,6660.290172762027
42,9.919500000000001,8.5,5.25,8149.585042102306
43,11.086500000000001,9.5,0.25,10.26693261822477
44,11.086500000000001,9.5,0.75,87.09880269425301
45,11.086500000000001,9.5,1.25,253.23253349952716
46,11.086500000000001,9.5,1.75,547.4355478723543
47,11.086500000000001,9.5,2.25,936.4820240251231
48,11.086500000000001,9.5,2.75,1550.7879874241626
49,11.086500000000001,9.5,3.25,2116.0716656740974
50,11.086500000000001,9.5,3.75,2846.1433190084467
51,11.086500000000001,9.5,4.25,4141.60815603801
52,11.086500000000001,9.5,4.75,5041.831806337209
53,11.086500000000001,9.5,5.25,6441.799700937201
54,11.086500000000001,9.5,5.75,7825.13063239088
55,11.086500000000001,9.5,6.25,9360.329595645155
56,12.2535,10.5,0.25,7.028106464572881
57,12.2535,10.5,0.75,62.094623099534026
58,12.2535,10.5,1.25,182.7339416602404
59,12.2535,10.5,1.75,389.0931431242746
60,12.2535,10.5,2.25,730.6319534621376
61,12.2535,10.5,2.75,1084.9723973457246
62,12.2535,10.5,3.25,1615.0420156787416
63,12.2535,10.5,3.75,2349.712534900316
64,12.2535,10.5,4.25,3016.8138318997503
65,12.2535,10.5,4.75,3771.9151436432085
66,12.2535,10.5,5.25,5208.51649715383
67,12.2535,10.5,5.75,6548.9058546546785
68,12.2535,10.5,6.25,7329.5826700471725
69,12.2535,10.5,6.75,8758.5748080988
70,12.2535,10.5,7.25,10507.709295959554
71,12.2535,10.5,7.75,11945.028880211808
72,12.2535,10.5,8.25,14097.136678380277
73,13.4205,11.5,0.25,4.805378611526409
74,13.4205,11.5,0.75,43.66980579846542
75,13.4205,11.5,1.25,131.3192452062732
76,13.4205,11.5,1.75,284.0773532800282
77,13.4205,11.5,2.25,528.3198290009542
78,13.4205,11.5,2.75,851.3985629612545
79,13.4205,11.5,3.25,1242.018435160088
80,13.4205,11.5,3.75,1857.8810135863564
81,13.4205,11.5,4.25,2488.2544085913682
82,13.4205,11.5,4.75,3208.9283810838187
83,13.4205,11.5,5.25,4144.484073953537
84,13.4205,11.5,5.75,5122.545866121491
85,13.4205,11.5,6.25,6314.673313964117
86,13.4205,11.5,6.75,7499.600770076258
87,13.4205,11.5,7.25,8420.342396149437
88,13.4205,11.5,7.75,10162.651065662472
89,13.4205,11.5,8.25,11608.788470444922
90,13.4205,11.5,8.75,12919.814066422445
91,14.5875,12.5,0.25,3.4236429683538536
92,14.5875,12.5,0.75,32.05613265145363
93,14.5875,12.5,1.25,98.29347711499507
94,14.5875,12.5,1.75,207.84665767566102
95,14.5875,12.5,2.25,395.8508198342773
96,14.5875,12.5,2.75,650.7927632988155
97,14.5875,12.5,3.25,955.952439357373
98,14.5875,12.5,3.75,1461.820284395111
99,14.5875,12.5,4.25,2003.6782040495589
100,14.5875,12.5,4.75,2595.1478999335013
101,14.5875,12.5,5.25,3233.9895464147544
102,14.5875,12.5,5.75,4087.6670808376666
103,14.5875,12.5,6.25,5217.216138994958
104,14.5875,12.5,6.75,6139.264363219612
105,14.5875,12.5,7.25,7208.908861764817
106,14.5875,12.5,7.75,8828.399796626865
107,14.5875,12.5,8.25,10218.972282042521
108,14.5875,12.5,8.75,11181.288595406071
109,15.7545,13.5,0.25,2.490847526982226
110,15.7545,13.5,0.75,23.82291290828466
111,15.7545,13.5,1.25,77.28411256027412
112,15.7545,13.5,1.75,166.7438954380809
113,15.7545,13.5,2.25,297.23419585899694
