,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,154.98973009381422
1,2.9175,2.5,0.25,466.12133864923936
2,2.9175,2.5,0.75,4168.2798582590885
3,4.0845,3.5,0.25,801.2338033172239
4,4.0845,3.5,0.75,7138.269746199456
5,4.0845,3.5,1.25,19920.69630917066
6,5.2515,4.5,0.25,959.9565528270334
7,5.2515,4.5,0.75,8526.483490655059
8,5.2515,4.5,1.25,23875.56456061962
9,5.2515,4.5,1.75,46779.87237612177
10,6.4185,5.5,0.25,815.6013584600015
11,6.4185,5.5,0.75,7225.085312013423
12,6.4185,5.5,1.25,20100.201863362006
13,6.4185,5.5,1.75,39914.30158140545
14,6.4185,5.5,2.25,68835.25201082924
15,7.585500000000001,6.5,0.25,990.0231031912007
16,7.585500000000001,6.5,0.75,9159.307910788752
17,7.585500000000001,6.5,1.25,25769.134543479435
18,7.585500000000001,6.5,1.75,52437.98754666956
19,7.585500000000001,6.5,2.25,88652.93713348443
20,7.585500000000001,6.5,2.75,135500.89940824365
21,7.585500000000001,6.5,3.25,194504.46840120552
22,7.585500000000001,6.5,3.75,258057.7930641687
23,8.7525,7.5,0.25,1183.666416631099
24,8.7525,7.5,0.75,11087.697410198845
25,8.7525,7.5,1.25,31031.504548098463
26,8.7525,7.5,1.75,62807.29534764909
27,8.7525,7.5,2.25,105904.0875160088
28,8.7525,7.5,2.75,162330.3038776916
29,8.7525,7.5,3.25,220121.9101357839
30,8.7525,7.5,3.75,272995.07638021075
31,8.7525,7.5,4.25,318552.25394777866
32,9.919500000000001,8.5,0.25,1371.6716167668856
33,9.919500000000001,8.5,0.75,12208.90733159909
34,9.919500000000001,8.5,1.25,36737.38164685551
35,9.919500000000001,8.5,1.75,68649.23957666801
36,9.919500000000001,8.5,2.25,109798.86293475104
37,9.919500000000001,8.5,2.75,161204.43308984168
38,9.919500000000001,8.5,3.25,197452.46529215615
39,9.919500000000001,8.5,3.75,239972.67760658814
40,9.919500000000001,8.5,4.25,288355.46215854737
41,9.919500000000001,8.5,4.75,340983.3433095623
42,9.919500000000001,8.5,5.25,378853.8792836092
43,11.086500000000001,9.5,0.25,1675.9122653487411
44,11.086500000000001,9.5,0.75,13747.887818994468
45,11.086500000000001,9.5,1.25,36125.05228597824
46,11.086500000000001,9.5,1.75,72971.32673086671
47,11.086500000000001,9.5,2.25,103845.94393024188
48,11.086500000000001,9.5,2.75,146238.4246046679
49,11.086500000000001,9.5,3.25,180566.8580464711
50,11.086500000000001,9.5,3.75,214145.61730766293
51,11.086500000000001,9.5,4.25,250047.91490838391
52,11.086500000000001,9.5,4.75,292644.79729172116
53,11.086500000000001,9.5,5.25,322983.02925251244
54,11.086500000000001,9.5,5.75,369400.28616060567
55,11.086500000000001,9.5,6.25,390500.96039002616
56,12.2535,10.5,0.25,1596.5356557670655
57,12.2535,10.5,0.75,13577.81357893651
58,12.2535,10.5,1.25,33588.20391426668
59,12.2535,10.5,1.75,63413.21397597791
60,12.2535,10.5,2.25,98317.84510471993
61,12.2535,10.5,2.75,121374.88312442994
62,12.2535,10.5,3.25,159600.55600760478
63,12.2535,10.5,3.75,192499.93113973955
64,12.2535,10.5,4.25,221469.99349637772
65,12.2535,10.5,4.75,248176.63486869892
66,12.2535,10.5,5.25,270311.17004480906
67,12.2535,10.5,5.75,316933.9934764001
68,12.2535,10.5,6.25,334485.6893928099
69,12.2535,10.5,6.75,354677.24489423126
70,12.2535,10.5,7.25,389184.2042132069
71,12.2535,10.5,7.75,418482.01124655176
72,12.2535,10.5,8.25,448671.6432184575
73,13.4205,11.5,0.25,1592.392441049591
74,13.4205,11.5,0.75,13178.610326617452
75,13.4205,11.5,1.25,32575.859943471565
76,13.4205,11.5,1.75,58371.29270063837
77,13.4205,11.5,2.25,84470.93396297187
78,13.4205,11.5,2.75,113655.91055897514
79,13.4205,11.5,3.25,137855.3714022536
80,13.4205,11.5,3.75,164906.94976340435
81,13.4205,11.5,4.25,186029.2691443559
82,13.4205,11.5,4.75,206988.8765179357
83,13.4205,11.5,5.25,237701.7148301714
84,13.4205,11.5,5.75,250434.0967350065
85,13.4205,11.5,6.25,282267.191215045
86,13.4205,11.5,6.75,297785.91327144514
87,13.4205,11.5,7.25,332178.22081247316
88,13.4205,11.5,7.75,355057.4042286997
89,13.4205,11.5,8.25,383915.5890423527
90,13.4205,11.5,8.75,402692.9661393311
91,14.5875,12.5,0.25,1382.2654991137067
92,14.5875,12.5,0.75,12546.224392640797
93,14.5875,12.5,1.25,30799.25699485927
94,14.5875,12.5,1.75,49709.259128919446
95,14.5875,12.5,2.25,75947.98782707703
96,14.5875,12.5,2.75,97354.84731559128
97,14.5875,12.5,3.25,126285.07951057496
98,14.5875,12.5,3.75,145106.5753388116
99,14.5875,12.5,4.25,169889.57533866394
100,14.5875,12.5,4.75,201160.73314039208
101,14.5875,12.5,5.25,224110.544114919
102,14.5875,12.5,5.75,236044.40253889153
103,14.5875,12.5,6.25,252515.08614006857
104,14.5875,12.5,6.75,272088.02386086836
105,14.5875,12.5,7.25,297324.83964727353
106,14.5875,12.5,7.75,326243.2982661724
107,14.5875,12.5,8.25,340503.0909667345
108,14.5875,12.5,8.75,366640.32998866745
109,15.7545,13.5,0.25,1358.9450122049316
110,15.7545,13.5,0.75,11380.228342070433
111,15.7545,13.5,1.25,28615.70034276781
112,15.7545,13.5,1.75,47824.59075240165
113,15.7545,13.5,2.25,66125.44831565475
114,15.7545,13.5,2.75,92055.08311296457
115,15.7545,13.5,3.25,108782.064118929
116,15.7545,13.5,3.75,129037.06264691797
117,15.7545,13.5,4.25,154907.43492803446
118,15.7545,13.5,4.75,168656.9377071956
119,15.7545,13.5,5.25,183379.7880152721
120,15.7545,13.5,5.75,207621.4393710196
121,15.7545,13.5,6.25,225855.0326801205
122,15.7545,13.5,6.75,240640.70616609463
123,15.7545,13.5,7.25,265649.16493188456
124,15.7545,13.5,7.75,286664.93374334974
125,15.7545,13.5,8.25,306294.17842764483
126,15.7545,13.5,8.75,335087.0335072225
127,16.9215,14.5,0.25,1220.530443862415
128,16.9215,14.5,0.75,10169.90377822008
129,16.9215,14.5,1.25,24300.54250103006
130,16.9215,14.5,1.75,39830.45978547871
131,16.9215,14.5,2.25,55298.04365760541
132,16.9215,14.5,2.75,77902.50358014434
133,16.9215,14.5,3.25,93533.41044565606
134,16.9215,14.5,3.75,116186.39065270267
135,16.9215,14.5,4.25,132925.94811636783
136,16.9215,14.5,4.75,146804.97168236214
137,16.9215,14.5,5.25,159849.9454255021
138,16.9215,14.5,5.75,179391.8325189313
139,16.9215,14.5,6.25,203370.20744579114
140,16.9215,14.5,6.75,208227.33956161147
141,16.9215,14.5,7.25,227509.485576992
142,16.9215,14.5,7.75,238989.10877317062
143,16.9215,14.5,8.25,266109.7217511576
144,16.9215,14.5,8.75,295822.80669429357
145,18.0885,15.5,0.25,1274.0952653991221
146,18.0885,15.5,0.75,8533.317829972897
147,18.0885,15.5,1.25,22004.97996966237
148,18.0885,15.5,1.75,36490.489970977986
149,18.0885,15.5,2.25,51614.180667976165
150,18.0885,15.5,2.75,66867.22840669959
151,18.0885,15.5,3.25,82547.54812942269
152,18.0885,15.5,3.75,98796.975921073
153,18.0885,15.5,4.25,114163.43460589043
154,18.0885,15.5,4.75,131240.70725670492
155,18.0885,15.5,5.25,147262.93280917982
156,18.0885,15.5,5.75,160166.78440480385
157,18.0885,15.5,6.25,172366.99875709842
