,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,156.08531002421785
1,2.9175,2.5,0.25,546.6683641742422
2,2.9175,2.5,0.75,4880.337741308703
3,4.0845,3.5,0.25,1044.4622302538394
4,4.0845,3.5,0.75,9312.327602601677
5,4.0845,3.5,1.25,26037.43199116405
6,5.2515,4.5,0.25,1555.8332604451991
7,5.2515,4.5,0.75,13824.391462967511
8,5.2515,4.5,1.25,38677.786407467436
9,5.2515,4.5,1.75,75594.37614669546
10,6.4185,5.5,0.25,1911.0193086773738
11,6.4185,5.5,0.75,16801.161842411708
12,6.4185,5.5,1.25,46224.097949782685
13,6.4185,5.5,1.75,90206.60485412186
14,6.4185,5.5,2.25,152034.2027718363
15,7.585500000000001,6.5,0.25,2013.7672971260258
16,7.585500000000001,6.5,0.75,18514.988537673147
17,7.585500000000001,6.5,1.25,50733.15345402157
18,7.585500000000001,6.5,1.75,100333.85207931478
19,7.585500000000001,6.5,2.25,163306.82712866925
20,7.585500000000001,6.5,2.75,239451.52872857894
21,7.585500000000001,6.5,3.25,334586.42404823814
22,7.585500000000001,6.5,3.75,444909.134093661
23,8.7525,7.5,0.25,2080.8380482740954
24,8.7525,7.5,0.75,19173.428453704695
25,8.7525,7.5,1.25,51675.29203701744
26,8.7525,7.5,1.75,101551.3459990271
27,8.7525,7.5,2.25,167809.95453958874
28,8.7525,7.5,2.75,256625.0462209848
29,8.7525,7.5,3.25,349151.177283467
30,8.7525,7.5,3.75,471329.3368531067
31,8.7525,7.5,4.25,569048.5878499621
32,9.919500000000001,8.5,0.25,2148.6775126560588
33,9.919500000000001,8.5,0.75,18895.673381692795
34,9.919500000000001,8.5,1.25,55291.86605502116
35,9.919500000000001,8.5,1.75,104521.58291652298
36,9.919500000000001,8.5,2.25,168252.9177535159
37,9.919500000000001,8.5,2.75,261973.432288461
38,9.919500000000001,8.5,3.25,341700.87399783585
39,9.919500000000001,8.5,3.75,435722.2912349975
40,9.919500000000001,8.5,4.25,566704.2051825112
41,9.919500000000001,8.5,4.75,726222.1286207074
42,9.919500000000001,8.5,5.25,864650.6509104982
43,11.086500000000001,9.5,0.25,2428.8028693815677
44,11.086500000000001,9.5,0.75,20086.375193719774
45,11.086500000000001,9.5,1.25,53531.50309004621
46,11.086500000000001,9.5,1.75,111205.56190259432
47,11.086500000000001,9.5,2.25,172228.4720529473
48,11.086500000000001,9.5,2.75,268197.67796404776
49,11.086500000000001,9.5,3.25,336061.74351929716
50,11.086500000000001,9.5,3.75,448170.0658589869
51,11.086500000000001,9.5,4.25,588332.1711594006
52,11.086500000000001,9.5,4.75,696239.119107485
53,11.086500000000001,9.5,5.25,828921.5481416982
54,11.086500000000001,9.5,5.75,1001601.4453181772
55,11.086500000000001,9.5,6.25,1086219.7303987509
56,12.2535,10.5,0.25,2268.180400463806
57,12.2535,10.5,0.75,20044.00128471737
58,12.2535,10.5,1.25,53051.11490761987
59,12.2535,10.5,1.75,112142.65366100208
60,12.2535,10.5,2.25,187288.1004486424
61,12.2535,10.5,2.75,241136.65110242242
62,12.2535,10.5,3.25,343840.91175568145
63,12.2535,10.5,3.75,450881.78094752046
64,12.2535,10.5,4.25,520686.04968702124
65,12.2535,10.5,4.75,608977.4818906209
66,12.2535,10.5,5.25,684201.9897435087
67,12.2535,10.5,5.75,819507.1068290669
68,12.2535,10.5,6.25,899234.6276224324
69,12.2535,10.5,6.75,938968.9023717993
70,12.2535,10.5,7.25,1037634.749997915
71,12.2535,10.5,7.75,1100695.7343938788
72,12.2535,10.5,8.25,1195236.09057797
73,13.4205,11.5,0.25,2344.342408799975
74,13.4205,11.5,0.75,20975.920906236937
75,13.4205,11.5,1.25,56313.77699913107
76,13.4205,11.5,1.75,109911.01377444921
77,13.4205,11.5,2.25,168243.7913059046
78,13.4205,11.5,2.75,251356.87733517247
79,13.4205,11.5,3.25,300362.0161982262
80,13.4205,11.5,3.75,378435.8431125666
81,13.4205,11.5,4.25,431130.45826665044
82,13.4205,11.5,4.75,486856.9020690474
83,13.4205,11.5,5.25,558397.285206671
84,13.4205,11.5,5.75,622338.60359111
85,13.4205,11.5,6.25,692495.954364794
86,13.4205,11.5,6.75,722888.202043954
87,13.4205,11.5,7.25,827492.07165767
88,13.4205,11.5,7.75,856988.983329435
89,13.4205,11.5,8.25,919145.3615655912
90,13.4205,11.5,8.75,982942.8761827492
91,14.5875,12.5,0.25,2296.5405035159815
92,14.5875,12.5,0.75,22578.220671410483
93,14.5875,12.5,1.25,58686.92689880568
94,14.5875,12.5,1.75,96522.96973800557
95,14.5875,12.5,2.25,158706.10911817453
96,14.5875,12.5,2.75,204771.05925579375
97,14.5875,12.5,3.25,272834.85439288843
98,14.5875,12.5,3.75,319328.6517493663
99,14.5875,12.5,4.25,384221.683118909
100,14.5875,12.5,4.75,464343.74481104495
101,14.5875,12.5,5.25,510841.9422886384
102,14.5875,12.5,5.75,548585.399782819
103,14.5875,12.5,6.25,589014.3531558234
104,14.5875,12.5,6.75,636125.2198043414
105,14.5875,12.5,7.25,680143.5734469893
106,14.5875,12.5,7.75,757760.0415490451
107,14.5875,12.5,8.25,790036.6978458312
108,14.5875,12.5,8.75,836794.4697974868
109,15.7545,13.5,0.25,2485.447054022551
110,15.7545,13.5,0.75,21516.50981125767
111,15.7545,13.5,1.25,58181.2689652651
112,15.7545,13.5,1.75,98652.51468243283
113,15.7545,13.5,2.25,137066.43199685786
114,15.7545,13.5,2.75,201796.7401837311
115,15.7545,13.5,3.25,242857.28046082213
116,15.7545,13.5,3.75,292038.07047359145
117,15.7545,13.5,4.25,355779.45900476986
118,15.7545,13.5,4.75,382843.1898619501
119,15.7545,13.5,5.25,423784.6708776337
120,15.7545,13.5,5.75,490304.3049708265
121,15.7545,13.5,6.25,519029.6577823749
122,15.7545,13.5,6.75,574686.7894887726
123,15.7545,13.5,7.25,622165.9832833547
124,15.7545,13.5,7.75,667627.3692355208
125,15.7545,13.5,8.25,693496.5740761567
126,15.7545,13.5,8.75,731843.3440752525
127,16.9215,14.5,0.25,2322.674101867162
128,16.9215,14.5,0.75,20465.65490834368
129,16.9215,14.5,1.25,51135.088428874966
130,16.9215,14.5,1.75,84636.05135285723
131,16.9215,14.5,2.25,118836.64125150625
132,16.9215,14.5,2.75,178220.7024637754
133,16.9215,14.5,3.25,214798.33034510558
134,16.9215,14.5,3.75,270441.6170720468
135,16.9215,14.5,4.25,310783.1466860811
136,16.9215,14.5,4.75,348403.35147928353
137,16.9215,14.5,5.25,379231.20422834385
138,16.9215,14.5,5.75,418558.4853958463
139,16.9215,14.5,6.25,484473.64784507273
140,16.9215,14.5,6.75,491072.17448255094
141,16.9215,14.5,7.25,519931.04246081586
142,16.9215,14.5,7.75,565425.6618845711
143,16.9215,14.5,8.25,603503.4138869254
144,16.9215,14.5,8.75,671695.6849421045
145,18.0885,15.5,0.25,2691.8059731143535
146,18.0885,15.5,0.75,18151.685062402736
147,18.0885,15.5,1.25,46928.151161899674
148,18.0885,15.5,1.75,80336.9922571326
149,18.0885,15.5,2.25,112500.88132762676
150,18.0885,15.5,2.75,146498.4888198828
151,18.0885,15.5,3.25,181357.87152201988
152,18.0885,15.5,3.75,214592.00776012975
153,18.0885,15.5,4.25,253857.62730969625
154,18.0885,15.5,4.75,291993.0715243989
155,18.0885,15.5,5.25,326254.1280517677
156,18.0885,15.5,5.75,357628.9335097746
157,18.0885,15.5,6.25,370057.8768604451
158,18.0885,15.5,6.75,397147.5771946419
159,18.0885,15.5,7.25,438726.2357212953
160,18.0885,15.5,7.75,496715.2920750388
161,18.0885,15.5,8.25,498625.6268094772
162,18.0885,15.5,8.75,538419.7320378319
163,19.2555,16.5,0.25,2178.3227338916977
164,19.2555,16.5,0.75,19257.47069420901
165,19.2555,16.5,1.25,43722.0318033847
166,19.2555,16.5,1.75,68891.93159101425
167,19.2555,16.5,2.25,96962.11506780196
168,19.2555,16.5,2.75,137447.92567027005
169,19.2555,16.5,3.25,172470.00324082942
170,19.2555,16.5,3.75,199053.71630819468
171,19.2555,16.5,4.25,227165.5144247944
172,19.2555,16.5,4.75,246478.93781405478
173,19.2555,16.5,5.25,272404.8749090652
174,19.2555,16.5,5.75,308444.04019431304
175,19.2555,16.5,6.25,337587.98925416236
176,19.2555,16.5,6.75,361395.4389622094
177,19.2555,16.5,7.25,394764.7150775688
178,19.2555,16.5,7.75,419779.5730393165
179,19.2555,16.5,8.25,455462.49822166946
180,19.2555,16.5,8.75,486214.00007449946
181,20.4225,17.5,0.25,2124.9143980253066
182,20.4225,17.5,0.75,17130.218775251884
183,20.4225,17.5,1.25,38623.817149808325
184,20.4225,17.5,1.75,66904.05835517336
185,20.4225,17.5,2.25,90849.1041684413
186,20.4225,17.5,2.75,119344.13770447955
187,20.4225,17.5,3.25,149407.33551749462
188,20.4225,17.5,3.75,165940.35336680774
189,20.4225,17.5,4.25,199693.22888074603
190,20.4225,17.5,4.75,233718.2424123841
191,20.4225,17.5,5.25,252600.28967321193
