,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,127.00917573635357
1,2.9175,2.5,0.25,372.84802585905624
2,2.9175,2.5,0.75,3394.2109370658054
3,4.0845,3.5,0.25,620.575642000184
4,4.0845,3.5,0.75,5528.682417014638
5,4.0845,3.5,1.25,15503.587410545542
6,5.2515,4.5,0.25,752.6399003166249
7,5.2515,4.5,0.75,6619.983754757454
8,5.2515,4.5,1.25,18483.800445640787
9,5.2515,4.5,1.75,36417.023628216004
10,6.4185,5.5,0.25,806.1750989954757
11,6.4185,5.5,0.75,7105.7836675781355
12,6.4185,5.5,1.25,19533.327858508303
13,6.4185,5.5,1.75,37975.17805558468
14,6.4185,5.5,2.25,62515.207957392886
15,7.585500000000001,6.5,0.25,770.6747753275195
16,7.585500000000001,6.5,0.75,6872.451006564937
17,7.585500000000001,6.5,1.25,18935.62102699834
18,7.585500000000001,6.5,1.75,37022.65127014
19,7.585500000000001,6.5,2.25,60190.828393387485
20,7.585500000000001,6.5,2.75,87601.16928049049
21,7.585500000000001,6.5,3.25,122182.52548648311
22,7.585500000000001,6.5,3.75,161784.57985664776
23,8.7525,7.5,0.25,794.9491142880574
24,8.7525,7.5,0.75,7061.187806487176
25,8.7525,7.5,1.25,19075.950281472196
26,8.7525,7.5,1.75,37189.870555275455
27,8.7525,7.5,2.25,61015.06844083596
28,8.7525,7.5,2.75,88835.72447472735
29,8.7525,7.5,3.25,122445.95751956532
30,8.7525,7.5,3.75,157948.64259408618
31,8.7525,7.5,4.25,195220.95242107817
32,9.919500000000001,8.5,0.25,805.3972989666827
33,9.919500000000001,8.5,0.75,6990.808429809404
34,9.919500000000001,8.5,1.25,19576.20546258277
35,9.919500000000001,8.5,1.75,36673.19997305095
36,9.919500000000001,8.5,2.25,58187.65504584161
37,9.919500000000001,8.5,2.75,85858.89084654633
38,9.919500000000001,8.5,3.25,113517.46061316317
39,9.919500000000001,8.5,3.75,143485.30800130853
40,9.919500000000001,8.5,4.25,179451.92151931173
41,9.919500000000001,8.5,4.75,221717.205128969
42,9.919500000000001,8.5,5.25,257650.74196681735
43,11.086500000000001,9.5,0.25,947.1505581857459
44,11.086500000000001,9.5,0.75,7895.522609699277
45,11.086500000000001,9.5,1.25,19874.03865916536
46,11.086500000000001,9.5,1.75,39845.888693449444
47,11.086500000000001,9.5,2.25,59226.18518892142
48,11.086500000000001,9.5,2.75,87547.58251788162
49,11.086500000000001,9.5,3.25,108857.1547289191
50,11.086500000000001,9.5,3.75,136655.18158887737
51,11.086500000000001,9.5,4.25,168628.37483311963
52,11.086500000000001,9.5,4.75,195552.18783664017
53,11.086500000000001,9.5,5.25,223060.11699216647
54,11.086500000000001,9.5,5.75,254145.2173397735
55,11.086500000000001,9.5,6.25,280073.94740661886
56,12.2535,10.5,0.25,954.7800412899423
57,12.2535,10.5,0.75,8103.129006958279
58,12.2535,10.5,1.25,20285.900489248816
59,12.2535,10.5,1.75,37061.10780178803
60,12.2535,10.5,2.25,58477.12451711255
61,12.2535,10.5,2.75,74927.89041172144
62,12.2535,10.5,3.25,96965.80660556105
63,12.2535,10.5,3.75,120376.22893834946
64,12.2535,10.5,4.25,140869.74626439184
65,12.2535,10.5,4.75,158327.29750587814
66,12.2535,10.5,5.25,175656.8873258593
67,12.2535,10.5,5.75,206702.96100338546
68,12.2535,10.5,6.25,212472.98117802758
69,12.2535,10.5,6.75,234913.6470604239
70,12.2535,10.5,7.25,257432.40580095566
71,12.2535,10.5,7.75,280099.5159894831
72,12.2535,10.5,8.25,317160.73098800203
73,13.4205,11.5,0.25,870.9000013054754
74,13.4205,11.5,0.75,7244.452786565728
75,13.4205,11.5,1.25,18159.1651897202
76,13.4205,11.5,1.75,33016.307153513364
77,13.4205,11.5,2.25,49556.80323176166
78,13.4205,11.5,2.75,67388.46627793404
79,13.4205,11.5,3.25,83089.00709355797
80,13.4205,11.5,3.75,103163.84548245215
81,13.4205,11.5,4.25,117516.77119505448
82,13.4205,11.5,4.75,132100.72657079317
83,13.4205,11.5,5.25,153668.99563703613
84,13.4205,11.5,5.75,163857.2312440366
85,13.4205,11.5,6.25,184912.15146528056
86,13.4205,11.5,6.75,198640.07426390526
87,13.4205,11.5,7.25,217301.24628707443
88,13.4205,11.5,7.75,248421.57846051088
89,13.4205,11.5,8.25,271657.4494215327
90,13.4205,11.5,8.75,287317.0040743669
91,14.5875,12.5,0.25,742.9397359910773
92,14.5875,12.5,0.75,6737.36941592258
93,14.5875,12.5,1.25,16743.889489125897
94,14.5875,12.5,1.75,27619.719599846387
95,14.5875,12.5,2.25,43549.06517792238
96,14.5875,12.5,2.75,56021.7322000749
97,14.5875,12.5,3.25,72885.08143420701
98,14.5875,12.5,3.75,87338.81926004386
99,14.5875,12.5,4.25,101519.9930009367
100,14.5875,12.5,4.75,118731.41729981393
101,14.5875,12.5,5.25,131630.0631382895
102,14.5875,12.5,5.75,142342.4949917147
103,14.5875,12.5,6.25,156811.88395380703
104,14.5875,12.5,6.75,172451.3712279184
105,14.5875,12.5,7.25,187433.3649691443
106,14.5875,12.5,7.75,210453.26222330966
107,14.5875,12.5,8.25,223091.8594382031
108,14.5875,12.5,8.75,242639.84764148813
109,15.7545,13.5,0.25,699.1015232243541
110,15.7545,13.5,0.75,6040.18323733004
111,15.7545,13.5,1.25,15593.735610695156
112,15.7545,13.5,1.75,25849.580745653704
113,15.7545,13.5,2.25,37765.186705927816
114,15.7545,13.5,2.75,51282.09070561206
115,15.7545,13.5,3.25,63319.52215658438
116,15.7545,13.5,3.75,75222.51910670308
117,15.7545,13.5,4.25,91465.70069289714
118,15.7545,13.5,4.75,100645.77409904606
119,15.7545,13.5,5.25,110424.06511461466
120,15.7545,13.5,5.75,124889.45325520071
121,15.7545,13.5,6.25,139464.2000668053
122,15.7545,13.5,6.75,151781.07346092636
123,15.7545,13.5,7.25,170278.71220154344
124,15.7545,13.5,7.75,186236.74014501527
125,15.7545,13.5,8.25,198457.12003032185
126,15.7545,13.5,8.75,215348.89121916625
127,16.9215,14.5,0.25,668.3912106399496
128,16.9215,14.5,0.75,5532.72181891258
129,16.9215,14.5,1.25,13388.461421434413
130,16.9215,14.5,1.75,22111.096180212975
131,16.9215,14.5,2.25,31627.46002840965
132,16.9215,14.5,2.75,42547.42244435953
133,16.9215,14.5,3.25,52879.161406448045
134,16.9215,14.5,3.75,65669.59298976476
135,16.9215,14.5,4.25,74089.94529074975
136,16.9215,14.5,4.75,83143.21377285005
137,16.9215,14.5,5.25,91651.76547558988
138,16.9215,14.5,5.75,104055.40287668648
139,16.9215,14.5,6.25,116636.6049221081
140,16.9215,14.5,6.75,124993.71865435637
141,16.9215,14.5,7.25,136040.47331765154
142,16.9215,14.5,7.75,144976.91246455416
143,16.9215,14.5,8.25,171744.40271839558
144,16.9215,14.5,8.75,183462.91691541107
145,18.0885,15.5,0.25,656.2508196915709
146,18.0885,15.5,0.75,4667.603809220205
147,18.0885,15.5,1.25,11790.40204614013
148,18.0885,15.5,1.75,19725.069632304992
149,18.0885,15.5,2.25,29029.41144204618
150,18.0885,15.5,2.75,36925.25337007174
151,18.0885,15.5,3.25,46359.5667146893
152,18.0885,15.5,3.75,55511.117332565394
153,18.0885,15.5,4.25,64311.55168844852
154,18.0885,15.5,4.75,73123.03124620803
155,18.0885,15.5,5.25,82917.9609875517
156,18.0885,15.5,5.75,90606.88950251725
