,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,25.746330798846884
1,2.9175,2.5,0.25,198.5032504604317
2,2.9175,2.5,0.75,1751.2090201899412
3,4.0845,3.5,0.25,292.7102962314333
4,4.0845,3.5,0.75,2605.4475258378466
5,4.0845,3.5,1.25,7354.632901973617
6,5.2515,4.5,0.25,269.3903946755847
7,5.2515,4.5,0.75,2412.9814188675946
8,5.2515,4.5,1.25,6972.045973464446
9,5.2515,4.5,1.75,14066.965896010772
10,6.4185,5.5,0.25,174.0605985812128
11,6.4185,5.5,0.75,1569.3570154935214
12,6.4185,5.5,1.25,4513.776979900845
13,6.4185,5.5,1.75,9183.957145283719
14,6.4185,5.5,2.25,16392.70511959268
15,7.585500000000001,6.5,0.25,170.7419983148202
16,7.585500000000001,6.5,0.75,1621.1625888620797
17,7.585500000000001,6.5,1.25,4765.6031601729255
18,7.585500000000001,6.5,1.75,9993.746369191926
19,7.585500000000001,6.5,2.25,16693.49632730134
20,7.585500000000001,6.5,2.75,25319.38142177272
21,7.585500000000001,6.5,3.25,34306.81801921243
22,7.585500000000001,6.5,3.75,45442.04516883945
23,8.7525,7.5,0.25,168.69250378227338
24,8.7525,7.5,0.75,1648.2098735865409
25,8.7525,7.5,1.25,4835.245630101883
26,8.7525,7.5,1.75,9695.604647973347
27,8.7525,7.5,2.25,16128.598835518185
28,8.7525,7.5,2.75,24459.14982189568
29,8.7525,7.5,3.25,32824.27317673819
30,8.7525,7.5,3.75,39367.550912333296
31,9.919500000000001,8.5,0.25,168.31773367696232
32,9.919500000000001,8.5,0.75,1611.7506726075144
33,9.919500000000001,8.5,1.25,5339.128519023206
34,9.919500000000001,8.5,1.75,10048.218648756178
35,9.919500000000001,8.5,2.25,15980.439829237945
36,9.919500000000001,8.5,2.75,23623.369361614154
37,9.919500000000001,8.5,3.25,28146.01895678966
38,9.919500000000001,8.5,3.75,33891.80256227351
39,11.086500000000001,9.5,0.25,180.1240327357461
40,11.086500000000001,9.5,0.75,1719.9490780689382
41,11.086500000000001,9.5,1.25,5266.054232932635
42,11.086500000000001,9.5,1.75,10777.33618720222
43,11.086500000000001,9.5,2.25,15360.590582089599
44,11.086500000000001,9.5,2.75,21733.861987815686
45,11.086500000000001,9.5,3.25,26445.88088216998
46,11.086500000000001,9.5,3.75,31752.27497507217
47,12.2535,10.5,0.25,159.01699820652934
48,12.2535,10.5,0.75,1697.1006693322245
49,12.2535,10.5,1.25,5184.0462643727
50,12.2535,10.5,1.75,10491.278517601286
51,12.2535,10.5,2.25,15610.597673527505
52,12.2535,10.5,2.75,19191.837455408462
53,12.2535,10.5,3.25,24807.4143398325
54,12.2535,10.5,3.75,29521.552394778933
55,13.4205,11.5,0.25,154.90132379295474
56,13.4205,11.5,0.75,1752.1691567143132
57,13.4205,11.5,1.25,5527.475731844462
58,13.4205,11.5,1.75,10233.334091575123
59,13.4205,11.5,2.25,14253.29346448282
60,13.4205,11.5,2.75,19127.202590351975
61,13.4205,11.5,3.25,21982.248629830898
62,13.4205,11.5,3.75,26479.99610333453
63,14.5875,12.5,0.25,150.12721148319903
64,14.5875,12.5,0.75,1824.3177816769812
65,14.5875,12.5,1.25,5491.091525326814
66,14.5875,12.5,1.75,8983.67901530249
67,14.5875,12.5,2.25,13607.74802553817
68,14.5875,12.5,2.75,16404.192462290648
69,14.5875,12.5,3.25,20564.829401865878
70,14.5875,12.5,3.75,23031.52349790597
71,15.7545,13.5,0.25,152.52827853288952
72,15.7545,13.5,0.75,1783.96747653541
73,15.7545,13.5,1.25,5400.1573707468415
74,15.7545,13.5,1.75,8967.311241275118
75,15.7545,13.5,2.25,12040.457983348928
76,15.7545,13.5,2.75,16097.589290239346
77,15.7545,13.5,3.25,18467.60141651607
78,15.7545,13.5,3.75,21970.279049823086
79,16.9215,14.5,0.25,141.0642087427917
80,16.9215,14.5,0.75,1685.279900791667
81,16.9215,14.5,1.25,4803.580153425179
82,16.9215,14.5,1.75,8000.0711706721695
83,16.9215,14.5,2.25,10655.28907886685
84,16.9215,14.5,2.75,14272.711424669154
85,16.9215,14.5,3.25,16858.916565241416
86,16.9215,14.5,3.75,20569.161430858556
87,18.0885,15.5,0.25,153.2615246659164
88,18.0885,15.5,0.75,1529.7115775440682
89,18.0885,15.5,1.25,4419.48405026802
90,18.0885,15.5,1.75,7586.615756510893
91,18.0885,15.5,2.25,10358.770042725098
92,18.0885,15.5,2.75,12862.668247022464
93,18.0885,15.5,3.25,15391.032118804544
94,18.0885,15.5,3.75,17985.080135871518
95,19.2555,16.5,0.25,133.17973614945163
96,19.2555,16.5,0.75,1691.6858394037797
97,19.2555,16.5,1.25,4200.807341072251
98,19.2555,16.5,1.75,6591.712618650355
99,19.2555,16.5,2.25,9124.693775792362
100,19.2555,16.5,2.75,12273.27341707478
101,19.2555,16.5,3.25,14694.611138757457
102,19.2555,16.5,3.75,17932.22133664542
103,20.4225,17.5,0.25,140.06217044666275
104,20.4225,17.5,0.75,1497.1892923151054
105,20.4225,17.5,1.25,3744.1614369212734
106,20.4225,17.5,1.75,6407.129179535207
107,20.4225,17.5,2.25,8571.74172653343
108,20.4225,17.5,2.75,10847.739966706085
109,20.4225,17.5,3.25,13563.420726489734
110,20.4225,17.5,3.75,14798.571724318806
111,21.5895,18.5,0.25,117.11405421508672
112,21.5895,18.5,0.75,1258.7734195044802
113,21.5895,18.5,1.25,3465.472963443845
114,21.5895,18.5,1.75,5559.667588907492
115,21.5895,18.5,2.25,7414.46369188148
116,21.5895,18.5,2.75,9758.440377983525
117,21.5895,18.5,3.25,12449.708562292531
118,21.5895,18.5,3.75,13723.214022017233
119,22.7565,19.5,0.25,128.91877617200683
120,22.7565,19.5,0.75,1295.2051201012366
121,22.7565,19.5,1.25,3163.7719223104937
122,22.7565,19.5,1.75,5339.9476625872585
123,22.7565,19.5,2.25,7424.720133332828
124,22.7565,19.5,2.75,9801.696370467691
125,22.7565,19.5,3.25,11053.542807897644
126,22.7565,19.5,3.75,13272.677701890236
127,23.9235,20.5,0.25,116.62742627719048
128,23.9235,20.5,0.75,1154.6266551173933
129,23.9235,20.5,1.25,2787.4417287888928
130,23.9235,20.5,1.75,4675.210529469739
131,23.9235,20.5,2.25,7134.70139936486
132,23.9235,20.5,2.75,9143.352736244007
133,23.9235,20.5,3.25,9981.40726141843
134,23.9235,20.5,3.75,12354.88166888422
135,25.090500000000002,21.5,0.25,109.0535601020506
136,25.090500000000002,21.5,0.75,1071.4361453752015
137,25.090500000000002,21.5,1.25,2764.0340326548326
138,25.090500000000002,21.5,1.75,4261.915634396496
139,25.090500000000002,21.5,2.25,6125.0443817808255
140,25.090500000000002,21.5,2.75,8034.642177232676
141,25.090500000000002,21.5,3.25,9680.775500075948
142,25.090500000000002,21.5,3.75,10902.644804507654
143,26.2575,22.5,0.25,104.31231029698534
144,26.2575,22.5,0.75,1093.7784180694248
145,26.2575,22.5,1.25,2381.5644408930198
146,26.2575,22.5,1.75,3765.4250920552845
147,26.2575,22.5,2.25,5683.66851145973
148,26.2575,22.5,2.75,6774.720156418508
149,26.2575,22.5,3.25,8755.352015241468
150,26.2575,22.5,3.75,9633.624418377805
